CLIENT_ECI,note_id,date,author_banker_id,channel,text,client_reaction,topic,linked_REQUEST_ID
5322520474,N0043,2026-06-13,BKR1361,CALL,Citi is showing 4.42% on a comparable PCA; is consolidating away from Citi and open to moving more to us. Held them with an exception at 4.33% on ~$1.6mm.,NEGATIVE,RATE_NEGOTIATION,CF0B9CD7F78DF0CAC5E40C02D4E518CA
5322520474,N0040,2026-05-22,BKR1361,MEETING,Chloe is a tech founder who recently took Vantawave public. Personal: splits time between New York and Napa. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
5322520474,N0042,2026-04-22,BKR1361,EMAIL,"When we reach out, reference: splits time between New York and Napa. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
5322520474,N0041,2026-03-26,BKR1361,NOTE,"Engagement preference — routes everything through their family-office analyst, Aisha.",NEUTRAL,RELATIONSHIP,
3658080161,N0052,2026-07-30,BKR0644,EMAIL,Their TD (~$5.3mm) matures 2026-08-07; is focused on tax-efficiency around year-end. Wants to talk renewal — responds best mid-morning; avoid Monday outreach.,NEUTRAL,MATURITY_PLANNING,
3658080161,N0051,2026-05-16,BKR0644,MEETING,Petra is a family-office CIO running a multi-entity structure. Personal: recently sold a stake in the family business. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
3658080161,N0050,2026-04-28,BKR0644,NOTE,Engagement preference — responds best mid-morning; avoid Monday outreach.,NEUTRAL,RELATIONSHIP,
3658080161,N0053,2026-04-18,BKR0644,EMAIL,"When we reach out, reference: recently sold a stake in the family business. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
6136777416,N0063,2026-08-02,BKR1472,CALL,$40.5mm landed from UBS on 2026-08-02 (inbound wire other bank). Parked short-term for now — strong opening to move it into a deposit before it leaves.,POSITIVE,LIQUIDITY,
6136777416,N0061,2026-06-14,BKR1472,NOTE,Engagement preference — responds best mid-morning; avoid Monday outreach.,NEUTRAL,RELATIONSHIP,
6136777416,N0062,2026-04-24,BKR1472,EMAIL,"When we reach out, reference: splits time between New York and Sun Valley. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
6136777416,N0060,2026-04-06,BKR1472,MEETING,Owen is a third-generation real estate family with frequent liquidity events when they sell buildings. Personal: splits time between New York and Sun Valley. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
2367665473,N0072,2026-07-17,BKR0816,EMAIL,Their TD (~$0.3mm) matures 2026-09-11; very rate-sensitive and benchmarks to 3-month T-bills. Wants to talk renewal — hates rate-only pitches — lead with the relationship.,NEUTRAL,MATURITY_PLANNING,
2367665473,N0073,2026-07-15,BKR0816,CALL,Chase is showing 4.99% on a comparable TD; very rate-sensitive and benchmarks to 3-month T-bills. Held them with an exception at 4.69% on ~$0.3mm.,NEUTRAL,RATE_NEGOTIATION,AFCC4F14A3E3E04D42F8AC2ACAF12797
2367665473,N0074,2026-06-27,BKR0816,TEAMS,At risk — very rate-sensitive and benchmarks to 3-month T-bills. Get ahead of it before Chase deepens the relationship.,NEGATIVE,RETENTION,
2367665473,N0075,2026-06-07,BKR0816,EMAIL,"When we reach out, reference: avid sailor who races out of Newport each summer. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
2367665473,N0071,2026-05-31,BKR0816,MEETING,Gabriel is a medical-practice group pooling partner deposits. Personal: avid sailor who races out of Newport each summer. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
2367665473,N0070,2026-04-28,BKR0816,NOTE,Engagement preference — hates rate-only pitches — lead with the relationship.,NEUTRAL,RELATIONSHIP,
8730449972,N0081,2026-07-14,BKR0533,EMAIL,"Their TD (~$0.4mm) matures 2026-08-22; worried about FDIC coverage across entities. Wants to talk renewal — routes everything through their family-office analyst, Kenji.",NEUTRAL,MATURITY_PLANNING,
8730449972,N0083,2026-06-14,BKR0533,TEAMS,At risk — worried about FDIC coverage across entities. Get ahead of it before First Republic deepens the relationship.,NEGATIVE,RETENTION,
8730449972,N0082,2026-05-18,BKR0533,EMAIL,"When we reach out, reference: recently sold a stake in the family business. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
8730449972,N0080,2026-02-13,BKR0533,MEETING,Ruth is a PE partner with lumpy carry distributions. Personal: recently sold a stake in the family business. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
0225953185,N0092,2026-07-22,BKR1583,TEAMS,At risk — wants laddered maturities to manage liquidity. Get ahead of it before Goldman Sachs deepens the relationship.,NO_RESPONSE,RETENTION,
0225953185,N0093,2026-06-07,BKR1583,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
0225953185,N0090,2026-05-08,BKR1583,EMAIL,"When we reach out, reference: planning a second home in Aspen. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
0225953185,N0091,2026-03-03,BKR1583,MEETING,Noah is a third-generation real estate family with frequent liquidity events when they sell buildings. Personal: planning a second home in Aspen. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
6783763791,N0101,2026-07-30,BKR1361,EMAIL,Their CD (~$0.4mm) matures 2026-08-14; is consolidating away from UBS and open to moving more to us. Wants to talk renewal — likes an in-person quarterly review.,NEUTRAL,MATURITY_PLANNING,
6783763791,N0100,2026-07-12,BKR1361,CALL,$16.7mm landed from IPO Underwriter on 2026-07-11 (ipo proceeds). Parked short-term for now — strong opening to move it into a deposit before it leaves.,POSITIVE,LIQUIDITY,
6783763791,N0102,2026-06-10,BKR1361,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
9921700376,N0111,2026-07-24,BKR1583,TEAMS,At risk — is consolidating away from Bank of America and open to moving more to us. Get ahead of it before Bank of America deepens the relationship.,NEGATIVE,RETENTION,
9921700376,N0112,2026-05-04,BKR1583,NOTE,Engagement preference — responds best mid-morning; avoid Monday outreach.,NEUTRAL,RELATIONSHIP,
9921700376,N0110,2026-04-25,BKR1583,MEETING,Marcus is a two-generation trust-and-estate relationship. Personal: recently sold a stake in the family business. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
9816477930,N0122,2026-07-17,BKR0421,EMAIL,"Their CD (~$4.9mm) matures 2026-09-29; very rate-sensitive and benchmarks to 3-month T-bills. Wants to talk renewal — routes everything through their family-office analyst, Noah.",NEUTRAL,MATURITY_PLANNING,
9816477930,N0121,2026-07-07,BKR0421,NOTE,"Engagement preference — routes everything through their family-office analyst, Noah.",NEUTRAL,RELATIONSHIP,
9816477930,N0120,2026-03-15,BKR0421,MEETING,Ethan is a retired cardiologist with a capital-preservation focus. Personal: very private — discretion matters to them. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
8903351331,N0131,2026-07-02,BKR0816,CALL,$29.1mm landed from Goldman Sachs on 2026-07-01 (inbound wire other bank). Parked short-term for now — strong opening to move it into a deposit before it leaves.,POSITIVE,LIQUIDITY,
8903351331,N0132,2026-05-06,BKR0816,EMAIL,"When we reach out, reference: very private — discretion matters to them. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
8903351331,N0133,2026-04-01,BKR0816,MEETING,Lena is a owner of a regional auto-dealership business with seasonal cash flows. Personal: very private — discretion matters to them. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
8903351331,N0130,2026-03-21,BKR0816,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
0619623591,N0140,2026-06-16,BKR1361,EMAIL,"When we reach out, reference: very private — discretion matters to them. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
0619623591,N0141,2026-05-04,BKR1361,MEETING,Maya is a hedge-fund principal who benchmarks everything to T-bills. Personal: very private — discretion matters to them. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
0619623591,N0142,2026-05-04,BKR1361,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
9113379886,N0153,2026-07-18,BKR0533,EMAIL,Their CD (~$4.9mm) matures 2026-08-04; has hinted at moving funds to Chase for a better rate. Wants to talk renewal — likes an in-person quarterly review.,NEUTRAL,MATURITY_PLANNING,
9113379886,N0150,2026-07-06,BKR0533,TEAMS,At risk — has hinted at moving funds to Chase for a better rate. Get ahead of it before Chase deepens the relationship.,NO_RESPONSE,RETENTION,
9113379886,N0152,2026-06-14,BKR0533,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
9113379886,N0151,2026-03-11,BKR0533,MEETING,Lucas is a two-generation trust-and-estate relationship. Personal: avid sailor who races out of Newport each summer. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
6896596273,N0160,2026-07-27,BKR0816,EMAIL,Their CD (~$0.3mm) matures 2026-09-03; is consolidating away from Bank of America and open to moving more to us. Wants to talk renewal — prefers a short call over email.,NEUTRAL,MATURITY_PLANNING,
6896596273,N0161,2026-07-17,BKR0816,TEAMS,At risk — is consolidating away from Bank of America and open to moving more to us. Get ahead of it before Bank of America deepens the relationship.,NO_RESPONSE,RETENTION,
6896596273,N0163,2026-05-22,BKR0816,CALL,Bank of America is showing 4.42% on a comparable CD; is consolidating away from Bank of America and open to moving more to us. Held them with an exception at 4.46% on ~$0.3mm.,NEGATIVE,RATE_NEGOTIATION,E1E90C80621DB212F19D54DBCECC24B3
6896596273,N0162,2026-04-27,BKR0816,MEETING,Gabriel is a medical-practice group pooling partner deposits. Personal: just became a grandparent. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
6896596273,N0164,2026-04-09,BKR0816,NOTE,Engagement preference — prefers a short call over email.,NEUTRAL,RELATIONSHIP,
1095197959,N0170,2026-07-24,BKR0421,EMAIL,Their TD (~$1.7mm) matures 2026-08-05; worried about FDIC coverage across entities. Wants to talk renewal — likes an in-person quarterly review.,NEUTRAL,MATURITY_PLANNING,
1095197959,N0173,2026-04-23,BKR0421,EMAIL,"When we reach out, reference: big Yankees fan with season tickets. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
1095197959,N0172,2026-04-19,BKR0421,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
1095197959,N0171,2026-03-13,BKR0421,MEETING,Ravi is a medical-practice group pooling partner deposits. Personal: big Yankees fan with season tickets. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
8842186845,N0181,2026-06-04,BKR0318,CALL,HSBC is showing 4.30% on a comparable SWEEP; very rate-sensitive and benchmarks to 3-month T-bills. Held them with an exception at 4.34% on ~$7.4mm.,NEGATIVE,RATE_NEGOTIATION,4768B8C2BCE779212CCCF1052FDA3176
8842186845,N0180,2026-05-28,BKR0318,NOTE,Engagement preference — hates rate-only pitches — lead with the relationship.,NEUTRAL,RELATIONSHIP,
8842186845,N0182,2026-05-24,BKR0318,MEETING,Samuel is a owner of a regional construction business with seasonal cash flows. Personal: just became a grandparent. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
1654584281,N0190,2026-07-16,BKR1472,EMAIL,Their CD (~$7.4mm) matures 2026-08-28; worried about FDIC coverage across entities. Wants to talk renewal — likes an in-person quarterly review.,NEUTRAL,MATURITY_PLANNING,
1654584281,N0193,2026-06-10,BKR1472,CALL,Citi is showing 4.41% on a comparable SWEEP; worried about FDIC coverage across entities. Held them with an exception at 4.78% on ~$7.8mm.,NEGATIVE,RATE_NEGOTIATION,F6E3490CACAEAD49A6FA5CA9F7AC8CB3
1654584281,N0191,2026-06-08,BKR1472,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
1654584281,N0192,2026-04-18,BKR1472,MEETING,Sofia is a owner of a regional logistics business with seasonal cash flows. Personal: big Cowboys fan with season tickets. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
5098549569,N0202,2026-08-01,BKR0318,EMAIL,Their TD (~$0.6mm) matures 2026-09-02; is consolidating away from First Republic and open to moving more to us. Wants to talk renewal — prefers a short call over email.,NEUTRAL,MATURITY_PLANNING,
5098549569,N0201,2026-06-23,BKR0318,TEAMS,At risk — is consolidating away from First Republic and open to moving more to us. Get ahead of it before First Republic deepens the relationship.,NEGATIVE,RETENTION,
5098549569,N0200,2026-05-06,BKR0318,CALL,First Republic is showing 4.24% on a comparable SWEEP; is consolidating away from First Republic and open to moving more to us. Held them with an exception at 4.38% on ~$1.8mm.,NEGATIVE,RATE_NEGOTIATION,2C8BEFA02EB2C6D6F8A9A4FA113E035E
1359239703,N0210,2026-07-29,BKR0927,EMAIL,Their TD (~$3.8mm) matures 2026-08-05; worried about FDIC coverage across entities. Wants to talk renewal — hates rate-only pitches — lead with the relationship.,NEUTRAL,MATURITY_PLANNING,
1359239703,N0213,2026-07-28,BKR0927,TEAMS,At risk — worried about FDIC coverage across entities. Get ahead of it before First Republic deepens the relationship.,NEGATIVE,RETENTION,
1359239703,N0212,2026-07-03,BKR0927,CALL,First Republic is showing 4.43% on a comparable TD; worried about FDIC coverage across entities. Held them with an exception at 4.52% on ~$3.8mm.,NEUTRAL,RATE_NEGOTIATION,7172D3E19530405FB85B4830AD8282FE
1359239703,N0211,2026-04-27,BKR0927,NOTE,Engagement preference — hates rate-only pitches — lead with the relationship.,NEUTRAL,RELATIONSHIP,
1359239703,N0214,2026-04-17,BKR0927,MEETING,Kenji is a tech founder who recently took Vantawave public. Personal: just became a grandparent. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
9163372197,N0221,2026-07-29,BKR0927,CALL,$36.2mm landed from UBS on 2026-07-28 (inbound wire other bank). Parked short-term for now — strong opening to move it into a deposit before it leaves.,POSITIVE,LIQUIDITY,
9163372197,N0223,2026-05-15,BKR0927,EMAIL,"When we reach out, reference: avid sailor who races out of Newport each summer. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
9163372197,N0220,2026-05-13,BKR0927,NOTE,Engagement preference — responds best mid-morning; avoid Monday outreach.,NEUTRAL,RELATIONSHIP,
9163372197,N0222,2026-03-18,BKR0927,MEETING,Sofia is a third-generation real estate family with frequent liquidity events when they sell buildings. Personal: avid sailor who races out of Newport each summer. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
2258354192,N0231,2026-07-10,BKR1149,EMAIL,"When we reach out, reference: very private — discretion matters to them. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
2258354192,N0232,2026-07-08,BKR1149,NOTE,Engagement preference — prefers a short call over email.,NEUTRAL,RELATIONSHIP,
2258354192,N0230,2026-05-23,BKR1149,MEETING,Caleb is a third-generation real estate family with frequent liquidity events when they sell buildings. Personal: very private — discretion matters to them. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
8098129450,N0241,2026-07-25,BKR0644,EMAIL,Their CD (~$0.7mm) matures 2026-08-09; is consolidating away from Goldman Sachs and open to moving more to us. Wants to talk renewal — hates rate-only pitches — lead with the relationship.,NEUTRAL,MATURITY_PLANNING,
8098129450,N0240,2026-07-01,BKR0644,TEAMS,At risk — is consolidating away from Goldman Sachs and open to moving more to us. Get ahead of it before Goldman Sachs deepens the relationship.,NO_RESPONSE,RETENTION,
8098129450,N0242,2026-04-21,BKR0644,NOTE,Engagement preference — hates rate-only pitches — lead with the relationship.,NEUTRAL,RELATIONSHIP,
8098129450,N0243,2026-02-11,BKR0644,MEETING,Isaac is a family-office CIO running a multi-entity structure. Personal: avid sailor who races out of Newport each summer. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
0979069638,N0250,2026-06-11,BKR1472,NOTE,Engagement preference — prefers a short call over email.,NEUTRAL,RELATIONSHIP,
0979069638,N0251,2026-02-08,BKR1472,MEETING,Ruth is a retired airline captain with a capital-preservation focus. Personal: very private — discretion matters to them. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
8141037389,N0262,2026-07-09,BKR0705,EMAIL,"When we reach out, reference: sits on two nonprofit boards. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
8141037389,N0261,2026-06-26,BKR0705,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
8141037389,N0260,2026-03-22,BKR0705,MEETING,Aisha is a PE partner with lumpy carry distributions. Personal: sits on two nonprofit boards. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
5766723249,N0272,2026-07-11,BKR0421,EMAIL,"When we reach out, reference: sits on two nonprofit boards. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
5766723249,N0270,2026-07-02,BKR0421,NOTE,Engagement preference — prefers a short call over email.,NEUTRAL,RELATIONSHIP,
5766723249,N0271,2026-05-03,BKR0421,MEETING,Elena is a tech founder who recently took Northwind Robotics public. Personal: sits on two nonprofit boards. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
9120771360,N0280,2026-07-27,BKR0705,EMAIL,Their TD (~$1.3mm) matures 2026-08-31; is focused on tax-efficiency around year-end. Wants to talk renewal — likes an in-person quarterly review.,NEUTRAL,MATURITY_PLANNING,
9120771360,N0281,2026-06-29,BKR0705,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
9120771360,N0283,2026-06-24,BKR0705,TEAMS,At risk — is focused on tax-efficiency around year-end. Get ahead of it before Morgan Stanley deepens the relationship.,NO_RESPONSE,RETENTION,
9120771360,N0282,2026-03-07,BKR0705,MEETING,Caleb is a two-generation trust-and-estate relationship. Personal: sits on two nonprofit boards. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
2096471392,N0293,2026-07-28,BKR1583,EMAIL,"Their CD (~$1.8mm) matures 2026-08-14; wants laddered maturities to manage liquidity. Wants to talk renewal — wants concise Teams messages, not long emails.",NEUTRAL,MATURITY_PLANNING,
2096471392,N0292,2026-07-27,BKR1583,CALL,$8.6mm landed from Asset Sale Proceeds on 2026-07-26 (asset sale). Parked short-term for now — strong opening to move it into a deposit before it leaves.,POSITIVE,LIQUIDITY,
2096471392,N0290,2026-04-21,BKR1583,EMAIL,"When we reach out, reference: sits on two nonprofit boards. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
2096471392,N0291,2026-03-07,BKR1583,NOTE,"Engagement preference — wants concise Teams messages, not long emails.",NEUTRAL,RELATIONSHIP,
8086117172,N0303,2026-08-01,BKR0207,EMAIL,Their TD (~$1.6mm) matures 2026-09-15; wants laddered maturities to manage liquidity. Wants to talk renewal — responds best mid-morning; avoid Monday outreach.,NEUTRAL,MATURITY_PLANNING,
8086117172,N0302,2026-07-31,BKR0207,TEAMS,At risk — wants laddered maturities to manage liquidity. Get ahead of it before UBS deepens the relationship.,NO_RESPONSE,RETENTION,
8086117172,N0300,2026-05-20,BKR0207,CALL,UBS is showing 4.53% on a comparable TD; wants laddered maturities to manage liquidity. Held them with an exception at 4.37% on ~$1.6mm.,NEUTRAL,RATE_NEGOTIATION,03BE771AC3C890BEF196A2350266D36D
8086117172,N0301,2026-04-10,BKR0207,NOTE,Engagement preference — responds best mid-morning; avoid Monday outreach.,NEUTRAL,RELATIONSHIP,
0790242729,N0313,2026-07-28,BKR0318,EMAIL,Their TD (~$1.4mm) matures 2026-09-27; has hinted at moving funds to UBS for a better rate. Wants to talk renewal — responds best mid-morning; avoid Monday outreach.,NEUTRAL,MATURITY_PLANNING,
0790242729,N0311,2026-07-17,BKR0318,TEAMS,At risk — has hinted at moving funds to UBS for a better rate. Get ahead of it before UBS deepens the relationship.,NEGATIVE,RETENTION,
0790242729,N0312,2026-06-04,BKR0318,MEETING,Victor is a hedge-fund principal who benchmarks everything to T-bills. Personal: just became a grandparent. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
0790242729,N0310,2026-03-08,BKR0318,NOTE,Engagement preference — responds best mid-morning; avoid Monday outreach.,NEUTRAL,RELATIONSHIP,
5284297250,N0321,2026-07-13,BKR1149,NOTE,Engagement preference — responds best mid-morning; avoid Monday outreach.,NEUTRAL,RELATIONSHIP,
5284297250,N0320,2026-03-15,BKR1149,MEETING,Kenji is a PE partner with lumpy carry distributions. Personal: very private — discretion matters to them. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
8933702653,N0331,2026-06-01,BKR0644,CALL,Goldman Sachs is showing 4.83% on a comparable TD; is focused on tax-efficiency around year-end. Held them with an exception at 4.57% on ~$36.4mm.,NEUTRAL,RATE_NEGOTIATION,BB876EC085D329A388ECF7AEE0F382C7
8933702653,N0330,2026-05-31,BKR0644,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
8933702653,N0332,2026-04-27,BKR0644,EMAIL,"When we reach out, reference: big Lakers fan with season tickets. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
8933702653,N0333,2026-02-14,BKR0644,MEETING,Ethan is a hedge-fund principal who benchmarks everything to T-bills. Personal: big Lakers fan with season tickets. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
7996550605,N0343,2026-07-20,BKR1038,EMAIL,Their CD (~$0.6mm) matures 2026-08-30; is consolidating away from First Republic and open to moving more to us. Wants to talk renewal — likes an in-person quarterly review.,NEUTRAL,MATURITY_PLANNING,
7996550605,N0341,2026-07-01,BKR1038,CALL,First Republic is showing 4.69% on a comparable ND; is consolidating away from First Republic and open to moving more to us. Held them with an exception at 4.37% on ~$1.7mm.,NEGATIVE,RATE_NEGOTIATION,1C35168F3EA8BB8B0D3B659BAFE2C9E4
7996550605,N0344,2026-06-21,BKR1038,TEAMS,At risk — is consolidating away from First Republic and open to moving more to us. Get ahead of it before First Republic deepens the relationship.,NEGATIVE,RETENTION,
7996550605,N0340,2026-05-15,BKR1038,MEETING,Noah is a two-generation trust-and-estate relationship. Personal: sits on two nonprofit boards. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
7996550605,N0342,2026-04-06,BKR1038,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
1243802346,N0352,2026-08-01,BKR0318,EMAIL,"Their CD (~$1.1mm) matures 2026-08-08; wants laddered maturities to manage liquidity. Wants to talk renewal — wants concise Teams messages, not long emails.",NEUTRAL,MATURITY_PLANNING,
1243802346,N0353,2026-07-03,BKR0318,CALL,HSBC is showing 4.03% on a comparable CD; wants laddered maturities to manage liquidity. Held them with an exception at 4.26% on ~$1.1mm.,NEGATIVE,RATE_NEGOTIATION,FBE1A2418C2F568C037CE716E36FC9A5
1243802346,N0350,2026-06-26,BKR0318,NOTE,"Engagement preference — wants concise Teams messages, not long emails.",NEUTRAL,RELATIONSHIP,
1243802346,N0351,2026-05-07,BKR0318,MEETING,Wei is a family-office CIO running a multi-entity structure. Personal: avid sailor who races out of Newport each summer. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
3042699947,N0360,2026-07-30,BKR1361,EMAIL,Their CD (~$1.9mm) matures 2026-08-24; worried about FDIC coverage across entities. Wants to talk renewal — responds best mid-morning; avoid Monday outreach.,NEUTRAL,MATURITY_PLANNING,
3042699947,N0361,2026-05-20,BKR1361,NOTE,Engagement preference — responds best mid-morning; avoid Monday outreach.,NEUTRAL,RELATIONSHIP,
3042699947,N0362,2026-02-07,BKR1361,MEETING,Caleb is a family-office CIO running a multi-entity structure. Personal: daughter Ingrid starts at Duke this fall. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
1638728075,N0372,2026-07-21,BKR1250,EMAIL,"When we reach out, reference: very private — discretion matters to them. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
1638728075,N0373,2026-07-19,BKR1250,TEAMS,At risk — very rate-sensitive and benchmarks to 3-month T-bills. Get ahead of it before Morgan Stanley deepens the relationship.,NEGATIVE,RETENTION,
1638728075,N0370,2026-05-05,BKR1250,NOTE,"Engagement preference — routes everything through their family-office analyst, Owen.",NEUTRAL,RELATIONSHIP,
1638728075,N0371,2026-02-05,BKR1250,MEETING,Aisha is a medical-practice group pooling partner deposits. Personal: very private — discretion matters to them. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
2046990958,N0381,2026-07-13,BKR0207,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
2046990958,N0382,2026-06-27,BKR0207,EMAIL,"When we reach out, reference: sits on two nonprofit boards. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
2046990958,N0380,2026-03-27,BKR0207,MEETING,Alicia is a family-office CIO running a multi-entity structure. Personal: sits on two nonprofit boards. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
9784420554,N0391,2026-05-25,BKR0421,EMAIL,"When we reach out, reference: big Man City fan with season tickets. Keeps it personal, not transactional.",POSITIVE,RELATIONSHIP,
9784420554,N0392,2026-04-23,BKR0421,MEETING,Sofia is a third-generation real estate family with frequent liquidity events when they sell buildings. Personal: big Man City fan with season tickets. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
9784420554,N0390,2026-04-19,BKR0421,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
5734252304,N0404,2026-07-15,BKR1583,EMAIL,"Their CD (~$3.7mm) matures 2026-08-17; values white-glove service over a few bps. Wants to talk renewal — routes everything through their family-office analyst, Mei.",NEUTRAL,MATURITY_PLANNING,
